id,celltype_id,sample_id
692,5,SAM000000106
693,9,SAM000000106
694,4,SAM000000106
695,3,SAM000000106
696,1,SAM000000104
697,10,SAM000000103
698,11,SAM000000103
699,4,SAM000000103
700,12,SAM000000103
701,17,SAM000000099
702,2,SAM000000099
703,5,SAM000000099
704,4,SAM000000099
705,8,SAM000000099
706,10,SAM000000099
707,11,SAM000000099
708,9,SAM000000099
709,7,SAM000000099
710,6,SAM000000099
711,16,SAM000000099
712,3,SAM000000099
713,1,SAM000000100
714,4,SAM000000100
715,6,SAM000000100
716,2,SAM000000100
717,18,SAM000000100
718,6,SAM000000106
719,3,SAM000000017
720,12,SAM000000015
721,18,SAM000000017
722,4,SAM000000015
723,10,SAM000000015
724,11,SAM000000015
725,2,SAM000000015
726,13,SAM000000015
727,7,SAM000000015
728,14,SAM000000015
729,6,SAM000000015
730,5,SAM000000017
731,12,SAM000000017
732,13,SAM000000017
733,11,SAM000000017
734,15,SAM000000017
735,4,SAM000000017
736,10,SAM000000017
737,9,SAM000000017
738,7,SAM000000017
739,8,SAM000000017
740,2,SAM000000017
741,6,SAM000000017
742,1,SAM000000017
743,8,SAM000000015
744,5,SAM000000015
745,15,SAM000000106
746,14,SAM000000106
747,10,SAM000000106
748,16,SAM000000106
749,7,SAM000000106
750,11,SAM000000106
751,12,SAM000000106
752,8,SAM000000106
753,2,SAM000000106
754,7,SAM000000004
755,3,SAM000000015
756,16,SAM000000015
757,3,SAM000000004
758,5,SAM000000004
759,6,SAM000000004
760,2,SAM000000004
761,11,SAM000000004
762,10,SAM000000004
763,4,SAM000000004
764,15,SAM000000004
765,8,SAM000000004
766,1,SAM000000099
767,4,SAM000000062
768,8,SAM000000088
769,11,SAM000000088
770,2,SAM000000088
771,10,SAM000000088
772,6,SAM000000088
773,5,SAM000000088
774,1,SAM000000088
775,7,SAM000000088
776,7,SAM000000094
777,1,SAM000000094
778,2,SAM000000094
779,6,SAM000000094
780,5,SAM000000094
781,4,SAM000000088
782,4,SAM000000084
783,7,SAM000000080
784,13,SAM000000080
785,6,SAM000000080
786,9,SAM000000080
787,8,SAM000000080
788,5,SAM000000080
789,12,SAM000000080
790,18,SAM000000080
791,10,SAM000000080
792,11,SAM000000084
793,8,SAM000000084
794,6,SAM000000084
795,18,SAM000000084
796,2,SAM000000084
797,1,SAM000000084
798,2,SAM000000080
799,11,SAM000000094
800,13,SAM000000101
801,4,SAM000000101
802,7,SAM000000101
803,7,SAM000000105
804,8,SAM000000101
805,10,SAM000000101
806,11,SAM000000101
807,12,SAM000000101
808,4,SAM000000105
809,12,SAM000000105
810,5,SAM000000105
811,3,SAM000000105
812,15,SAM000000105
813,6,SAM000000105
814,2,SAM000000105
815,11,SAM000000105
816,8,SAM000000105
817,10,SAM000000105
818,8,SAM000000094
819,1,SAM000000098
820,4,SAM000000098
821,8,SAM000000098
822,6,SAM000000098
823,5,SAM000000098
824,13,SAM000000094
825,10,SAM000000094
826,12,SAM000000094
827,4,SAM000000094
828,11,SAM000000098
829,10,SAM000000098
830,14,SAM000000101
831,6,SAM000000101
832,2,SAM000000101
833,18,SAM000000101
834,2,SAM000000098
835,13,SAM000000098
836,12,SAM000000098
837,1,SAM000000101
838,4,SAM000000080
839,11,SAM000000080
840,4,SAM000000065
841,6,SAM000000065
842,10,SAM000000065
843,1,SAM000000065
844,12,SAM000000065
845,11,SAM000000065
846,2,SAM000000065
847,8,SAM000000065
848,4,SAM000000071
849,1,SAM000000071
850,5,SAM000000069
851,2,SAM000000069
852,1,SAM000000069
853,8,SAM000000069
854,2,SAM000000071
855,13,SAM000000062
856,1,SAM000000062
857,4,SAM000000064
858,8,SAM000000062
859,11,SAM000000062
860,7,SAM000000062
861,10,SAM000000062
862,12,SAM000000062
863,15,SAM000000064
864,1,SAM000000064
865,5,SAM000000064
866,13,SAM000000064
867,2,SAM000000064
868,7,SAM000000064
869,10,SAM000000064
870,11,SAM000000064
871,12,SAM000000064
872,8,SAM000000064
873,18,SAM000000079
874,2,SAM000000079
875,10,SAM000000075
876,4,SAM000000075
877,1,SAM000000075
878,7,SAM000000079
879,6,SAM000000079
880,19,SAM000000080
881,12,SAM000000079
882,13,SAM000000079
883,4,SAM000000079
884,8,SAM000000079
885,10,SAM000000079
886,11,SAM000000079
887,11,SAM000000075
888,8,SAM000000075
889,8,SAM000000073
890,2,SAM000000073
891,11,SAM000000073
892,1,SAM000000073
893,18,SAM000000071
894,16,SAM000000071
895,14,SAM000000071
896,8,SAM000000071
897,11,SAM000000071
898,4,SAM000000073
899,6,SAM000000075
900,2,SAM000000075
901,5,SAM000000075
902,9,SAM000000075
903,10,SAM000000073
904,6,SAM000000073
905,9,SAM000000073
906,2,SAM000000007
907,8,SAM000000007
908,6,SAM000000007
909,3,SAM000000007
910,5,SAM000000007
911,13,SAM000000006
912,6,SAM000000006
913,5,SAM000000006
914,10,SAM000000006
915,8,SAM000000006
916,7,SAM000000006
917,9,SAM000000006
918,11,SAM000000006
919,13,SAM000000007
920,10,SAM000000007
921,11,SAM000000007
922,4,SAM000000001
923,12,SAM000000001
924,4,SAM000000008
925,11,SAM000000008
926,10,SAM000000008
927,8,SAM000000008
928,13,SAM000000008
929,2,SAM000000008
930,5,SAM000000008
931,14,SAM000000008
932,6,SAM000000008
933,3,SAM000000008
934,7,SAM000000001
935,4,SAM000000006
936,20,SAM000000005
937,10,SAM000000003
938,11,SAM000000003
939,12,SAM000000003
940,4,SAM000000003
941,15,SAM000000003
942,8,SAM000000003
943,12,SAM000000002
944,13,SAM000000002
945,9,SAM000000002
946,3,SAM000000002
947,4,SAM000000002
948,11,SAM000000002
949,6,SAM000000002
950,5,SAM000000002
951,10,SAM000000002
952,8,SAM000000002
953,6,SAM000000003
954,7,SAM000000003
955,13,SAM000000005
956,9,SAM000000005
957,15,SAM000000005
958,11,SAM000000005
959,10,SAM000000005
960,7,SAM000000005
961,2,SAM000000005
962,4,SAM000000005
963,14,SAM000000005
964,6,SAM000000005
965,12,SAM000000005
966,5,SAM000000005
967,8,SAM000000005
968,3,SAM000000005
969,3,SAM000000003
970,5,SAM000000003
971,2,SAM000000003
972,4,SAM000000007
973,11,SAM000000001
974,18,SAM000000012
975,19,SAM000000012
976,2,SAM000000054
977,6,SAM000000054
978,3,SAM000000054
979,5,SAM000000054
980,10,SAM000000054
981,8,SAM000000054
982,11,SAM000000054
983,1,SAM000000054
984,13,SAM000000054
985,7,SAM000000054
986,4,SAM000000054
987,12,SAM000000054
988,8,SAM000000001
989,6,SAM000000013
990,13,SAM000000013
991,8,SAM000000013
992,10,SAM000000013
993,19,SAM000000013
994,9,SAM000000013
995,11,SAM000000013
996,4,SAM000000013
997,7,SAM000000013
998,3,SAM000000012
999,6,SAM000000012
1000,5,SAM000000012
1001,2,SAM000000012
1002,4,SAM000000012
1003,7,SAM000000012
1004,8,SAM000000012
1005,11,SAM000000012
1006,13,SAM000000012
1007,19,SAM000000054
1008,12,SAM000000010
1009,10,SAM000000010
1010,11,SAM000000010
1011,8,SAM000000010
1012,17,SAM000000010
1013,22,SAM000000010
1014,4,SAM000000009
1015,5,SAM000000009
1016,11,SAM000000009
1017,1,SAM000000009
1018,7,SAM000000009
1019,12,SAM000000009
1020,10,SAM000000001
1021,9,SAM000000054
1022,10,SAM000000009
1023,2,SAM000000010
1024,8,SAM000000009
1025,6,SAM000000010
1026,13,SAM000000011
1027,11,SAM000000011
1028,8,SAM000000011
1029,4,SAM000000011
1030,16,SAM000000011
1031,5,SAM000000011
1032,2,SAM000000011
1033,14,SAM000000011
1034,5,SAM000000010
1035,6,SAM000000011
1036,18,SAM000000010
1037,7,SAM000000010
1038,4,SAM000000010
1039,3,SAM000000010
1040,3,SAM000000011
1041,24,SAM000000142
1042,12,SAM000000142
1043,2,SAM000000142
1044,21,SAM000000142
1045,12,SAM000000143
1046,6,SAM000000142
1047,8,SAM000000142
1048,13,SAM000000142
1049,7,SAM000000142
1050,5,SAM000000142
1051,26,SAM000000141
1052,24,SAM000000140
1053,13,SAM000000140
1054,12,SAM000000140
1055,7,SAM000000140
1056,6,SAM000000140
1057,4,SAM000000140
1058,9,SAM000000140
1059,24,SAM000000143
1060,13,SAM000000143
1061,8,SAM000000144
1062,2,SAM000000144
1063,24,SAM000000144
1064,9,SAM000000144
1065,27,SAM000000144
1066,12,SAM000000144
1067,5,SAM000000144
1068,21,SAM000000144
1069,5,SAM000000143
1070,2,SAM000000143
1071,10,SAM000000143
1072,4,SAM000000143
1073,25,SAM000000143
1074,8,SAM000000143
1075,11,SAM000000143
1076,7,SAM000000143
1077,11,SAM000000140
1078,5,SAM000000140
1079,24,SAM000000138
1080,8,SAM000000138
1081,11,SAM000000138
1082,2,SAM000000138
1083,13,SAM000000137
1084,24,SAM000000137
1085,4,SAM000000137
1086,10,SAM000000137
1087,12,SAM000000137
1088,6,SAM000000137
1089,7,SAM000000137
1090,2,SAM000000137
1091,8,SAM000000137
1092,11,SAM000000137
1093,7,SAM000000144
1094,5,SAM000000137
1095,5,SAM000000138
1096,7,SAM000000138
1097,9,SAM000000138
1098,6,SAM000000138
1099,2,SAM000000140
1100,5,SAM000000139
1101,6,SAM000000139
1102,13,SAM000000139
1103,2,SAM000000139
1104,8,SAM000000140
1105,12,SAM000000139
1106,7,SAM000000139
1107,11,SAM000000139
1108,9,SAM000000139
1109,13,SAM000000138
1110,10,SAM000000138
1111,12,SAM000000138
1112,8,SAM000000139
1113,13,SAM000000144
1114,12,SAM000000149
1115,5,SAM000000145
1116,12,SAM000000178
1117,6,SAM000000177
1118,5,SAM000000177
1119,9,SAM000000177
1120,13,SAM000000177
1121,4,SAM000000177
1122,11,SAM000000177
1123,7,SAM000000177
1124,2,SAM000000177
1125,8,SAM000000177
1126,24,SAM000000177
1127,12,SAM000000177
1128,28,SAM000000177
1129,11,SAM000000148
1130,8,SAM000000148
1131,24,SAM000000178
1132,13,SAM000000148
1133,28,SAM000000178
1134,10,SAM000000178
1135,21,SAM000000150
1136,2,SAM000000149
1137,7,SAM000000149
1138,6,SAM000000149
1139,24,SAM000000149
1140,8,SAM000000149
1141,5,SAM000000149
1142,21,SAM000000149
1143,30,SAM000000178
1144,2,SAM000000178
1145,11,SAM000000178
1146,4,SAM000000178
1147,13,SAM000000178
1148,9,SAM000000178
1149,29,SAM000000178
1150,33,SAM000000178
1151,7,SAM000000178
1152,8,SAM000000178
1153,21,SAM000000148
1154,2,SAM000000148
1155,8,SAM000000146
1156,24,SAM000000146
1157,12,SAM000000146
1158,25,SAM000000146
1159,4,SAM000000146
1160,5,SAM000000146
1161,6,SAM000000146
1162,2,SAM000000146
1163,24,SAM000000145
1164,13,SAM000000145
1165,8,SAM000000145
1166,2,SAM000000145
1167,9,SAM000000145
1168,27,SAM000000145
1169,6,SAM000000145
1170,13,SAM000000146
1171,11,SAM000000146
1172,7,SAM000000146
1173,10,SAM000000146
1174,4,SAM000000148
1175,5,SAM000000148
1176,6,SAM000000148
1177,7,SAM000000148
1178,24,SAM000000148
1179,12,SAM000000148
1180,21,SAM000000145
1181,6,SAM000000147
1182,2,SAM000000147
1183,5,SAM000000147
1184,21,SAM000000147
1185,7,SAM000000147
1186,13,SAM000000147
1187,4,SAM000000147
1188,24,SAM000000147
1189,12,SAM000000147
1190,8,SAM000000147
1191,27,SAM000000185
1192,8,SAM000000133
1193,5,SAM000000133
1194,32,SAM000000133
1195,31,SAM000000133
1196,11,SAM000000127
1197,6,SAM000000127
1198,7,SAM000000127
1199,13,SAM000000127
1200,12,SAM000000127
1201,24,SAM000000127
1202,5,SAM000000127
1203,28,SAM000000127
1204,25,SAM000000127
1205,4,SAM000000127
1206,8,SAM000000127
1207,2,SAM000000133
1208,2,SAM000000127
1209,9,SAM000000133
1210,12,SAM000000133
1211,24,SAM000000128
1212,13,SAM000000128
1213,4,SAM000000128
1214,12,SAM000000128
1215,8,SAM000000128
1216,6,SAM000000128
1217,5,SAM000000128
1218,32,SAM000000128
1219,2,SAM000000128
1220,31,SAM000000128
1221,6,SAM000000133
1222,11,SAM000000133
1223,4,SAM000000133
1224,13,SAM000000133
1225,24,SAM000000133
1226,27,SAM000000127
1227,9,SAM000000127
1228,5,SAM000000125
1229,29,SAM000000123
1230,4,SAM000000123
1231,7,SAM000000123
1232,2,SAM000000124
1233,8,SAM000000124
1234,24,SAM000000124
1235,13,SAM000000124
1236,4,SAM000000124
1237,9,SAM000000124
1238,6,SAM000000124
1239,5,SAM000000124
1240,2,SAM000000125
1241,8,SAM000000125
1242,9,SAM000000125
1243,11,SAM000000125
1244,13,SAM000000126
1245,7,SAM000000126
1246,28,SAM000000126
