id,annotation_id,type,project_id,experiment_id,omics_id,sample_id,celltype_id,celltype_name,celltype_ontology,root_celltype_id,father_celltype_id,path,celltype_number
227619,ANO000000171,1,290,295,SCT000000267,SAM000181383,3530,Proliferation,,3530,,/3530,1
227620,ANO000000171,1,290,295,SCT000000267,SAM000181383,3613,LVEC,,3613,,/3613,10
227621,ANO000000171,1,290,295,SCT000000267,SAM000181383,3527,Hepatocyte,,3527,,/3527,2
227622,ANO000000171,1,290,295,SCT000000267,SAM000181383,3506,LSEC,,3506,,/3506,9
227623,ANO000000171,1,290,295,SCT000000267,SAM000181383,3577,TM1,,3577,,/3577,19
227624,ANO000000171,1,290,295,SCT000000267,SAM000181383,3600,cDC2,,3600,,/3600,11
227625,ANO000000171,1,290,295,SCT000000267,SAM000181383,3529,LVECt,,3529,,/3529,3
227626,ANO000000171,1,290,295,SCT000000267,SAM000181383,3551,SAM,,3551,,/3551,14
227627,ANO000000171,1,290,295,SCT000000267,SAM000181383,3499,T cell,CL:0000084,3499,,/3499,14
227628,ANO000000171,1,290,295,SCT000000267,SAM000181383,3561,cDC1,,3561,,/3561,2
227629,ANO000000171,1,290,295,SCT000000267,SAM000181383,3484,vSMC,,3484,,/3484,3
227630,ANO000000171,1,290,295,SCT000000267,SAM000181383,3550,B cell,CL:0000236,3550,,/3550,2
227631,ANO000000171,1,290,295,SCT000000267,SAM000181389,186,Kupffer cell,CL:0000091,186,,/186,4
227632,ANO000000171,1,290,295,SCT000000267,SAM000181389,3600,cDC2,,3600,,/3600,8
227633,ANO000000171,1,290,295,SCT000000267,SAM000181389,3613,LVEC,,3613,,/3613,6
227634,ANO000000171,1,290,295,SCT000000267,SAM000181389,3512,Carcinoma 2,,3512,,/3512,2
227635,ANO000000171,1,290,295,SCT000000267,SAM000181389,3577,TM1,,3577,,/3577,3
227636,ANO000000171,1,290,295,SCT000000267,SAM000181389,3551,SAM,,3551,,/3551,4
227637,ANO000000171,1,290,295,SCT000000267,SAM000181389,3499,T cell,CL:0000084,3499,,/3499,5
227638,ANO000000171,1,290,295,SCT000000267,SAM000181389,3550,B cell,CL:0000236,3550,,/3550,4
227639,ANO000000171,1,290,295,SCT000000267,SAM000181389,3506,LSEC,,3506,,/3506,1
227640,ANO000000171,1,290,295,SCT000000267,SAM000181389,3530,Proliferation,,3530,,/3530,1
227641,ANO000000171,1,290,295,SCT000000267,SAM000181389,3501,Carcinoma 1,,3501,,/3501,1
227642,ANO000000171,1,290,295,SCT000000267,SAM000181389,3527,Hepatocyte,,3527,,/3527,1
227643,ANO000000171,1,290,295,SCT000000267,SAM000181391,3613,LVEC,,3613,,/3613,18
227644,ANO000000171,1,290,295,SCT000000267,SAM000181391,3551,SAM,,3551,,/3551,11
227645,ANO000000171,1,290,295,SCT000000267,SAM000181391,3577,TM1,,3577,,/3577,17
227646,ANO000000171,1,290,295,SCT000000267,SAM000181391,3506,LSEC,,3506,,/3506,4
227647,ANO000000171,1,290,295,SCT000000267,SAM000181391,186,Kupffer cell,CL:0000091,186,,/186,12
227648,ANO000000171,1,290,295,SCT000000267,SAM000181391,3595,Stellate cell,,3595,,/3595,4
227649,ANO000000171,1,290,295,SCT000000267,SAM000181391,3600,cDC2,,3600,,/3600,10
227650,ANO000000171,1,290,295,SCT000000267,SAM000181391,3529,LVECt,,3529,,/3529,1
227651,ANO000000171,1,290,295,SCT000000267,SAM000181391,3501,Carcinoma 1,,3501,,/3501,1
227652,ANO000000171,1,290,295,SCT000000267,SAM000181391,3512,Carcinoma 2,,3512,,/3512,1
227653,ANO000000171,1,290,295,SCT000000267,SAM000181391,3550,B cell,CL:0000236,3550,,/3550,1
227654,ANO000000171,1,290,295,SCT000000267,SAM000181391,3561,cDC1,,3561,,/3561,1
227655,ANO000000171,1,290,295,SCT000000267,SAM000181391,3517,CAF,,3517,,/3517,1
227656,ANO000000171,1,290,295,SCT000000267,SAM000181399,3501,Carcinoma 1,,3501,,/3501,56
227657,ANO000000171,1,290,295,SCT000000267,SAM000181399,3577,TM1,,3577,,/3577,8
227658,ANO000000171,1,290,295,SCT000000267,SAM000181399,3550,B cell,CL:0000236,3550,,/3550,3
227659,ANO000000171,1,290,295,SCT000000267,SAM000181399,3551,SAM,,3551,,/3551,24
