id,project_id,omics_id,annotation_id,annotation_type,name,logfoldchange,method,pval,pval_adj,score,layer,father_uplayer,gene_id,celltype_id,celltype_ontology,celltype_name,logfoldchange_rank,pval_rank
341056,289,SCT000000266,ANO000000170,1,Gene:hsa:6521,11,t-test,1.34E-29,8.56E-29,16.7,1,root,6521,3515,,Erythroid_Cell,4,17
341057,289,SCT000000266,ANO000000170,1,Gene:hsa:682,4.1,t-test,1.22E-29,7.82E-29,16.6,1,root,682,3515,,Erythroid_Cell,25,16
341058,289,SCT000000266,ANO000000170,1,Gene:hsa:51218,4.55,t-test,3.46E-28,2.14E-27,15.9,1,root,51218,3515,,Erythroid_Cell,21,18
341059,289,SCT000000266,ANO000000170,1,Gene:hsa:2993,11.8,t-test,1.98E-27,1.20E-26,15.5,1,root,2993,3515,,Erythroid_Cell,1,19
341060,289,SCT000000266,ANO000000170,1,Gene:hsa:2994,11.3,t-test,2.47E-26,1.46E-25,14.9,1,root,2994,3515,,Erythroid_Cell,3,20
341061,289,SCT000000266,ANO000000170,1,Gene:hsa:3145,6.3,t-test,4.93E-25,2.79E-24,14.3,1,root,3145,3515,,Erythroid_Cell,15,21
341062,289,SCT000000266,ANO000000170,1,Gene:hsa:2987,2.79,t-test,6.30E-25,3.55E-24,14.1,1,root,2987,3515,,Erythroid_Cell,29,22
341063,289,SCT000000266,ANO000000170,1,Gene:hsa:665,4.51,t-test,4.82E-24,2.65E-23,13.7,1,root,665,3515,,Erythroid_Cell,22,23
341064,289,SCT000000266,ANO000000170,1,Gene:hsa:23770,3.99,t-test,1.49E-23,8.08E-23,13.5,1,root,23770,3515,,Erythroid_Cell,26,24
341065,289,SCT000000266,ANO000000170,1,Gene:hsa:5886,3.99,t-test,2.10E-22,1.10E-21,12.9,1,root,5886,3515,,Erythroid_Cell,27,25
341066,289,SCT000000266,ANO000000170,1,Gene:hsa:3049,10.4,t-test,5.00E-22,2.59E-21,12.7,1,root,3049,3515,,Erythroid_Cell,6,26
