id,omics_id,sample_id
155655,SCT000000274,SAM000183081
155656,SCT000000274,SAM000183082
155657,SCT000000274,SAM000183083
155658,SCT000000274,SAM000183084
155659,SCT000000274,SAM000183085
155660,SCT000000274,SAM000183086
155661,SCT000000274,SAM000183087
155662,SCT000000274,SAM000183088
155663,SCT000000274,SAM000183089
155664,SCT000000274,SAM000183090
155665,SCT000000274,SAM000183091
155666,SCT000000274,SAM000183092
155667,SCT000000274,SAM000183093
155668,SCT000000274,SAM000183080
155669,SCT000000274,SAM000183094
155670,SCT000000274,SAM000183096
155671,SCT000000274,SAM000183097
155672,SCT000000274,SAM000183098
155673,SCT000000274,SAM000183099
155674,SCT000000274,SAM000183100
155675,SCT000000274,SAM000183101
155676,SCT000000274,SAM000183102
155677,SCT000000274,SAM000183103
155678,SCT000000274,SAM000183104
155679,SCT000000274,SAM000183105
155680,SCT000000274,SAM000183106
155681,SCT000000274,SAM000183107
155682,SCT000000274,SAM000183108
155683,SCT000000274,SAM000183095
155684,SCT000000274,SAM000183110
155685,SCT000000274,SAM000183079
155686,SCT000000274,SAM000183077
155687,SCT000000274,SAM000183049
155688,SCT000000274,SAM000183050
155689,SCT000000274,SAM000183051
155690,SCT000000274,SAM000183052
155691,SCT000000274,SAM000183053
155692,SCT000000274,SAM000183054
155693,SCT000000274,SAM000183055
155694,SCT000000274,SAM000183056
155695,SCT000000274,SAM000183057
155696,SCT000000274,SAM000183058
155697,SCT000000274,SAM000183059
155698,SCT000000274,SAM000183060
155699,SCT000000274,SAM000183061
155700,SCT000000274,SAM000183078
155701,SCT000000274,SAM000183062
155702,SCT000000274,SAM000183064
155703,SCT000000274,SAM000183065
155704,SCT000000274,SAM000183066
155705,SCT000000274,SAM000183067
155706,SCT000000274,SAM000183068
155707,SCT000000274,SAM000183069
155708,SCT000000274,SAM000183070
155709,SCT000000274,SAM000183071
155710,SCT000000274,SAM000183072
155711,SCT000000274,SAM000183073
155712,SCT000000274,SAM000183074
155713,SCT000000274,SAM000183075
155714,SCT000000274,SAM000183076
155715,SCT000000274,SAM000183063
155716,SCT000000274,SAM000183244
155717,SCT000000274,SAM000183245
155718,SCT000000274,SAM000183248
155719,SCT000000274,SAM000183425
155720,SCT000000274,SAM000183426
155721,SCT000000274,SAM000183427
155722,SCT000000274,SAM000183428
155723,SCT000000274,SAM000183429
155724,SCT000000274,SAM000183430
155725,SCT000000274,SAM000183432
155726,SCT000000274,SAM000183433
155727,SCT000000274,SAM000183434
155728,SCT000000274,SAM000183435
155729,SCT000000274,SAM000183436
155730,SCT000000274,SAM000183437
155731,SCT000000274,SAM000183438
155732,SCT000000274,SAM000183439
155733,SCT000000274,SAM000183440
155734,SCT000000274,SAM000183441
155735,SCT000000274,SAM000183442
155736,SCT000000274,SAM000183443
155737,SCT000000274,SAM000183444
155738,SCT000000274,SAM000183445
155739,SCT000000274,SAM000183446
155740,SCT000000274,SAM000183447
155741,SCT000000274,SAM000183448
155742,SCT000000274,SAM000183449
155743,SCT000000274,SAM000183450
155744,SCT000000274,SAM000183451
155745,SCT000000274,SAM000183452
155746,SCT000000274,SAM000183424
155747,SCT000000274,SAM000183423
155748,SCT000000274,SAM000183421
155749,SCT000000274,SAM000183419
155750,SCT000000274,SAM000183386
155751,SCT000000274,SAM000183387
155752,SCT000000274,SAM000183388
155753,SCT000000274,SAM000183389
155754,SCT000000274,SAM000183390
155755,SCT000000274,SAM000183391
155756,SCT000000274,SAM000183392
155757,SCT000000274,SAM000183393
155758,SCT000000274,SAM000183395
155759,SCT000000274,SAM000183396
155760,SCT000000274,SAM000183397
155761,SCT000000274,SAM000183398
155762,SCT000000274,SAM000183399
155763,SCT000000274,SAM000183453
155764,SCT000000274,SAM000183400
155765,SCT000000274,SAM000183402
155766,SCT000000274,SAM000183403
155767,SCT000000274,SAM000183404
155768,SCT000000274,SAM000183407
155769,SCT000000274,SAM000183408
155770,SCT000000274,SAM000183409
155771,SCT000000274,SAM000183410
155772,SCT000000274,SAM000183411
155773,SCT000000274,SAM000183413
155774,SCT000000274,SAM000183414
155775,SCT000000274,SAM000183416
155776,SCT000000274,SAM000183417
155777,SCT000000274,SAM000183418
155778,SCT000000274,SAM000183401
155779,SCT000000274,SAM000183454
155780,SCT000000274,SAM000183456
155781,SCT000000274,SAM000183457
155782,SCT000000274,SAM000183491
155783,SCT000000274,SAM000183492
155784,SCT000000274,SAM000183493
155785,SCT000000274,SAM000183495
155786,SCT000000274,SAM000183496
155787,SCT000000274,SAM000183497
155788,SCT000000274,SAM000183499
155789,SCT000000274,SAM000183500
155790,SCT000000274,SAM000183501
155791,SCT000000274,SAM000183502
155792,SCT000000274,SAM000183503
155793,SCT000000274,SAM000183504
155794,SCT000000274,SAM000183505
155795,SCT000000274,SAM000183490
155796,SCT000000274,SAM000183506
155797,SCT000000274,SAM000183508
155798,SCT000000274,SAM000183510
155799,SCT000000274,SAM000183511
155800,SCT000000274,SAM000183513
155801,SCT000000274,SAM000183515
155802,SCT000000274,SAM000183516
155803,SCT000000274,SAM000183517
155804,SCT000000274,SAM000183518
155805,SCT000000274,SAM000183519
155806,SCT000000274,SAM000183520
155807,SCT000000274,SAM000183521
155808,SCT000000274,SAM000183522
155809,SCT000000274,SAM000183523
155810,SCT000000274,SAM000183507
155811,SCT000000274,SAM000183385
155812,SCT000000274,SAM000183489
155813,SCT000000274,SAM000183486
155814,SCT000000274,SAM000183458
155815,SCT000000274,SAM000183459
155816,SCT000000274,SAM000183460
155817,SCT000000274,SAM000183461
155818,SCT000000274,SAM000183462
155819,SCT000000274,SAM000183463
155820,SCT000000274,SAM000183464
155821,SCT000000274,SAM000183465
155822,SCT000000274,SAM000183466
155823,SCT000000274,SAM000183467
155824,SCT000000274,SAM000183468
155825,SCT000000274,SAM000183469
155826,SCT000000274,SAM000183470
155827,SCT000000274,SAM000183487
155828,SCT000000274,SAM000183471
155829,SCT000000274,SAM000183473
155830,SCT000000274,SAM000183474
155831,SCT000000274,SAM000183475
155832,SCT000000274,SAM000183476
155833,SCT000000274,SAM000183477
155834,SCT000000274,SAM000183478
155835,SCT000000274,SAM000183479
155836,SCT000000274,SAM000183480
155837,SCT000000274,SAM000183481
155838,SCT000000274,SAM000183482
155839,SCT000000274,SAM000183483
155840,SCT000000274,SAM000183484
155841,SCT000000274,SAM000183485
155842,SCT000000274,SAM000183472
155843,SCT000000274,SAM000183384
155844,SCT000000274,SAM000183383
155845,SCT000000274,SAM000183382
155846,SCT000000274,SAM000183285
155847,SCT000000274,SAM000183286
155848,SCT000000274,SAM000183287
155849,SCT000000274,SAM000183289
155850,SCT000000274,SAM000183290
155851,SCT000000274,SAM000183291
155852,SCT000000274,SAM000183293
155853,SCT000000274,SAM000183294
155854,SCT000000274,SAM000183295
155855,SCT000000274,SAM000183296
155856,SCT000000274,SAM000183297
155857,SCT000000274,SAM000183298
155858,SCT000000274,SAM000183299
155859,SCT000000274,SAM000183284
155860,SCT000000274,SAM000183300
155861,SCT000000274,SAM000183302
155862,SCT000000274,SAM000183303
155863,SCT000000274,SAM000183304
155864,SCT000000274,SAM000183305
155865,SCT000000274,SAM000183306
155866,SCT000000274,SAM000183307
155867,SCT000000274,SAM000183308
155868,SCT000000274,SAM000183309
155869,SCT000000274,SAM000183310
155870,SCT000000274,SAM000183311
155871,SCT000000274,SAM000183312
155872,SCT000000274,SAM000183313
155873,SCT000000274,SAM000183314
155874,SCT000000274,SAM000183301
155875,SCT000000274,SAM000183315
155876,SCT000000274,SAM000183283
155877,SCT000000274,SAM000183281
155878,SCT000000274,SAM000183249
155879,SCT000000274,SAM000183251
155880,SCT000000274,SAM000183252
155881,SCT000000274,SAM000183253
155882,SCT000000274,SAM000183254
155883,SCT000000274,SAM000183255
155884,SCT000000274,SAM000183256
155885,SCT000000274,SAM000183257
155886,SCT000000274,SAM000183258
155887,SCT000000274,SAM000183260
155888,SCT000000274,SAM000183261
155889,SCT000000274,SAM000183262
155890,SCT000000274,SAM000183265
155891,SCT000000274,SAM000183282
