system,system_ontology,organ,organ_ontology,organ_tax2,organ_tax2_ontology,organ_tax3,organ_tax3_ontology,organ_tax4,organ_tax4_ontology,organ_tax5,organ_tax5_ontology,organ_tax6,organ_tax6_ontology,organ_tax7,organ_tax7_ontology,organ_tax8,organ_tax8_ontology,organ_tax9,organ_tax9_ontology,organ_tax10,organ_tax10_ontology
gonad,UBERON:0000991,gonadal fat pad,UBERON:0003428,,,,,,,,,,,,,,,,,,
,,head,UBERON:0000033,subdivision of head,UBERON:0001444,top of head,UBERON:1000019,,,,,,,,,,,,,,
,,head,UBERON:0000033,scalp,UBERON:0000403,,,,,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,cardiac ventricle,UBERON:0002082,heart right ventricle,UBERON:0002080,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,cardiac ventricle,UBERON:0002082,heart left ventricle,UBERON:0002084,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,cardiac atrium,UBERON:0002081,right cardiac atrium,UBERON:0002078,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,cardiac atrium,UBERON:0002081,left cardiac atrium,UBERON:0002079,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,cardiac atrium,UBERON:0002081,atrium auricular region,UBERON:0006618,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac septum,UBERON:0002099,interventricular septum,UBERON:0002094,,,,,,,,,,,,,,
,,heart,UBERON:0000948,apex of heart,UBERON:0002098,,,,,,,,,,,,,,,,
,,heart,UBERON:0000948,cardiac chamber,UBERON:0004151,myocardium of ventricle,UBERON:0001083,,,,,,,,,,,,,,
,,heart,UBERON:0000948,myocardium,UBERON:0002349,,,,,,,,,,,,,,,,
,,hemolymph,UBERON:0001011,,,,,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,intestinal mucosa,UBERON:0001242,Peyer's patch,UBERON:0001211,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,intestinal mucosa,UBERON:0001242,crypt of Lieberkuhn,UBERON:0001983,crypt of Lieberkuhn of small intestine,UBERON:0001241,,,,,,,,,,,,
,,intestine,UBERON:0000160,small intestine,UBERON:0002108,ileum,UBERON:0002116,ileal mucosa,UBERON:0000331,,,,,,,,,,,,
,,intestine,UBERON:0000160,small intestine,UBERON:0002108,duodenum,UBERON:0002114,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,small intestine,UBERON:0002108,jejunum,UBERON:0002115,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,small intestine,UBERON:0002108,lamina propria of small intestine,UBERON:0001238,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,rectum,UBERON:0001052,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,proximal-distal subdivision of colon,UBERON:0000168,sigmoid colon,UBERON:0001159,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,proximal-distal subdivision of colon,UBERON:0000168,transverse colon,UBERON:0001157,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,proximal-distal subdivision of colon,UBERON:0000168,ascending colon,UBERON:0001156,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,proximal-distal subdivision of colon,UBERON:0000168,descending colon,UBERON:0001158,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,proximal-distal subdivision of colon,UBERON:0000168,sigmoid colon,UBERON:0001159,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,caecum,UBERON:0001153,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,colonic epithelium,UBERON:0000397,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colon,UBERON:0001155,lamina propria of mucosa of colon,UBERON:0007177,,,,,,,,,,,,
,,intestine,UBERON:0000160,large intestine,UBERON:0000059,colorectum,UBERON:0012652,,,,,,,,,,,,,,
,,intestine,UBERON:0000160,rectosigmoid junction,UBERON:0036214,,,,,,,,,,,,,,,,
,,kidney,UBERON:0002113,head kidney,UBERON:0007132,,,,,,,,,,,,,,,,
,,kidney,UBERON:0002113,mesonephros,UBERON:0000080,,,,,,,,,,,,,,,,
,,kidney,UBERON:0002113,renal glomerulus,UBERON:0000074,,,,,,,,,,,,,,,,
,,kidney,UBERON:0002113,cortex of kidney,UBERON:0001225,juxtamedullary cortex,UBERON:0005271,,,,,,,,,,,,,,
,,kidney,UBERON:0002113,cortex of kidney,UBERON:0001225,outer cortex of kidney,UBERON:0002189,,,,,,,,,,,,,,
,,ligament,UBERON:0000211,,,,,,,,,,,,,,,,,,
