sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000181523,SCT000000268,LIB046507_TRA00182856_S8_quant,blood,Homo sapiens,95,72
SAM000181535,SCT000000268,LIB046508_TRA00182833_S2_quant,blood,Homo sapiens,95,72
SAM000181534,SCT000000268,LIB046508_TRA00182831_S1_quant,blood,Homo sapiens,95,72
SAM000181549,SCT000000268,LIB046508_TRA00182889_S16_quant,blood,Homo sapiens,95,72
SAM000181548,SCT000000268,LIB046508_TRA00182887_S15_quant,blood,Homo sapiens,95,72
SAM000181547,SCT000000268,LIB046508_TRA00182877_S14_quant,liver,Homo sapiens,95,72
SAM000181545,SCT000000268,LIB046508_TRA00182873_S12_quant,liver,Homo sapiens,95,72
SAM000181544,SCT000000268,LIB046508_TRA00182871_S11_quant,liver,Homo sapiens,95,72
SAM000181543,SCT000000268,LIB046508_TRA00182865_S10_quant,blood,Homo sapiens,95,72
SAM000181542,SCT000000268,LIB046508_TRA00182863_S9_quant,blood,Homo sapiens,95,72
SAM000181546,SCT000000268,LIB046508_TRA00182875_S13_quant,liver,Homo sapiens,95,72
SAM000181540,SCT000000268,LIB046508_TRA00182855_S7_quant,blood,Homo sapiens,95,72
SAM000181539,SCT000000268,LIB046508_TRA00182849_S6_quant,liver,Homo sapiens,95,72
SAM000181538,SCT000000268,LIB046508_TRA00182847_S5_quant,liver,Homo sapiens,95,72
SAM000181537,SCT000000268,LIB046508_TRA00182845_S4_quant,liver,Homo sapiens,95,72
SAM000181541,SCT000000268,LIB046508_TRA00182857_S8_quant,blood,Homo sapiens,95,72
SAM000181536,SCT000000268,LIB046508_TRA00182843_S3_quant,liver,Homo sapiens,95,72
SAM000181590,SCT000000269,02-P166169-S109-R01: cellranger counts,liver,Homo sapiens,188,496
SAM000181782,SCT000000270,D21_1,liver,Mus musculus,10,65495
SAM000181781,SCT000000270,D7_2,liver,Mus musculus,10,65495
SAM000181783,SCT000000270,D21_2,liver,Mus musculus,10,65495
SAM000181780,SCT000000270,D7_1,liver,Mus musculus,10,65495
SAM000181779,SCT000000270,D3_2,liver,Mus musculus,10,65495
SAM000181784,SCT000000270,D56_1,liver,Mus musculus,10,65495
SAM000181785,SCT000000270,D56_2,liver,Mus musculus,10,65495
SAM000181777,SCT000000270,D1_2,liver,Mus musculus,10,65495
SAM000181778,SCT000000270,D3_1,liver,Mus musculus,10,65495
SAM000181776,SCT000000270,D1_1,liver,Mus musculus,10,65495
SAM000181816,SCT000000271,231260_peripheral blood_RNA-seq,blood,Homo sapiens,32,47940
SAM000181796,SCT000000271,230498_peripheral blood_RNA-seq,blood,Homo sapiens,32,47940
SAM000181794,SCT000000271,230498_lymph node_RNA-seq,lymph node,Homo sapiens,32,47940
SAM000181814,SCT000000271,231260_lymph node_RNA-seq,lymph node,Homo sapiens,32,47940
SAM000181812,SCT000000271,231260_primary focus_RNA-seq,bile duct,Homo sapiens,32,47940
SAM000181788,SCT000000271,230093_PBMC_RNA-seq,blood,Homo sapiens,32,47940
SAM000181786,SCT000000271,230093_primary focus_RNA-seq,bile duct,Homo sapiens,32,47940
SAM000181792,SCT000000271,230498_primary focus_RNA-seq,bile duct,Homo sapiens,32,47940
SAM000181790,SCT000000271,230093_peritonneal metastasis_RNA-seq,peritoneum,Homo sapiens,32,47940
SAM000181806,SCT000000271,230723_liver metastasis_RNA-seq,liver,Homo sapiens,32,47940
SAM000181802,SCT000000271,357818_metastasis_RNA-seq,liver,Homo sapiens,32,47940
SAM000181804,SCT000000271,230723_primary focus_RNA-seq,bile duct,Homo sapiens,32,47940
SAM000181800,SCT000000271,357818_peripheral blood_RNA-seq,blood,Homo sapiens,32,47940
