sample_name,sample_id,cell_number
RHP4481 scRNA-Seq,SAM000182877,2036
RHP4482 scRNA-Seq,SAM000182878,2036
RHP4483 scRNA-Seq,SAM000182879,2036
RHP4484 scRNA-Seq,SAM000182880,2036
RHP4485 scRNA-Seq,SAM000182881,2036
RHP4486 scRNA-Seq,SAM000182882,2036
RHP4487 scRNA-Seq,SAM000182883,2036
RHP4488 scRNA-Seq,SAM000182884,2036
RHP4489 scRNA-Seq,SAM000182885,2036
RHP4490 scRNA-Seq,SAM000182886,2036
RHP4491 scRNA-Seq,SAM000182887,2036
RHP4492 scRNA-Seq,SAM000182888,2036
RHP4493 scRNA-Seq,SAM000182889,2036
RHP4494 scRNA-Seq,SAM000182890,2036
RHP4495 scRNA-Seq,SAM000182891,2036
RHP4496 scRNA-Seq,SAM000182892,2036
RHP4497 scRNA-Seq,SAM000182893,2036
RHP4499 scRNA-Seq,SAM000182895,2036
RHP4500 scRNA-Seq,SAM000182896,2036
RHP4501 scRNA-Seq,SAM000182897,2036
RHP4502 scRNA-Seq,SAM000182898,2036
RHP4503 scRNA-Seq,SAM000182899,2036
RHP4504 scRNA-Seq,SAM000182900,2036
RHP4505 scRNA-Seq,SAM000182901,2036
RHP4506 scRNA-Seq,SAM000182902,2036
RHP4507 scRNA-Seq,SAM000182903,2036
RHP4508 scRNA-Seq,SAM000182904,2036
RHP4509 scRNA-Seq,SAM000182905,2036
RHP4510 scRNA-Seq,SAM000182906,2036
RHP4512 scRNA-Seq,SAM000182908,2036
RHP4513 scRNA-Seq,SAM000182909,2036
RHP4514 scRNA-Seq,SAM000182910,2036
RHP4515 scRNA-Seq,SAM000182911,2036
RHP4516 scRNA-Seq,SAM000182912,2036
RHP4517 scRNA-Seq,SAM000182913,2036
RHP4518 scRNA-Seq,SAM000182914,2036
RHP4519 scRNA-Seq,SAM000182915,2036
RHP4520 scRNA-Seq,SAM000182916,2036
RHP4521 scRNA-Seq,SAM000182917,2036
RHP4522 scRNA-Seq,SAM000182918,2036
RHP4523 scRNA-Seq,SAM000182919,2036
RHP4524 scRNA-Seq,SAM000182920,2036
RHP4525 scRNA-Seq,SAM000182921,2036
RHP4526 scRNA-Seq,SAM000182922,2036
RHP4527 scRNA-Seq,SAM000182923,2036
RHP4528 scRNA-Seq,SAM000182924,2036
RHP4529 scRNA-Seq,SAM000182925,2036
RHP4530 scRNA-Seq,SAM000182926,2036
RHP4531 scRNA-Seq,SAM000182927,2036
RHP4532 scRNA-Seq,SAM000182928,2036
RHP4533 scRNA-Seq,SAM000182929,2036
RHP4534 scRNA-Seq,SAM000182930,2036
RHP4535 scRNA-Seq,SAM000182931,2036
RHP4536 scRNA-Seq,SAM000182932,2036
RHP4537 scRNA-Seq,SAM000182933,2036
RHP4538 scRNA-Seq,SAM000182934,2036
RHP4539 scRNA-Seq,SAM000182935,2036
RHP4540 scRNA-Seq,SAM000182936,2036
RHP4541 scRNA-Seq,SAM000182937,2036
RHP4542 scRNA-Seq,SAM000182938,2036
RHP4543 scRNA-Seq,SAM000182939,2036
RHP4544 scRNA-Seq,SAM000182940,2036
RHP4545 scRNA-Seq,SAM000182941,2036
RHP4546 scRNA-Seq,SAM000182942,2036
RHP4547 scRNA-Seq,SAM000182943,2036
RHP4548 scRNA-Seq,SAM000182944,2036
RHP4549 scRNA-Seq,SAM000182945,2036
RHP4550 scRNA-Seq,SAM000182946,2036
RHP4551 scRNA-Seq,SAM000182947,2036
RHP4552 scRNA-Seq,SAM000182948,2036
RHP4553 scRNA-Seq,SAM000182949,2036
RHP4554 scRNA-Seq,SAM000182950,2036
RHP4555 scRNA-Seq,SAM000182951,2036
RHP4556 scRNA-Seq,SAM000182952,2036
RHP4557 scRNA-Seq,SAM000182953,2036
RHP4558 scRNA-Seq,SAM000182954,2036
RHP4559 scRNA-Seq,SAM000182955,2036
RHP4560 scRNA-Seq,SAM000182956,2036
RHP4561 scRNA-Seq,SAM000182957,2036
RHP4562 scRNA-Seq,SAM000182958,2036
RHP4563 scRNA-Seq,SAM000182959,2036
RHP4564 scRNA-Seq,SAM000182960,2036
RHP4565 scRNA-Seq,SAM000182961,2036
RHP4566 scRNA-Seq,SAM000182962,2036
RHP4567 scRNA-Seq,SAM000182963,2036
RHP4568 scRNA-Seq,SAM000182964,2036
RHP4569 scRNA-Seq,SAM000182965,2036
RHP4570 scRNA-Seq,SAM000182966,2036
RHP4571 scRNA-Seq,SAM000182967,2036
RHP4572 scRNA-Seq,SAM000182968,2036
RHP4573 scRNA-Seq,SAM000182969,2036
RHP4574 scRNA-Seq,SAM000182970,2036
RHP4575 scRNA-Seq,SAM000182971,2036
RHP4576 scRNA-Seq,SAM000182972,2036
RHP4577 scRNA-Seq,SAM000182973,2036
RHP4578 scRNA-Seq,SAM000182974,2036
RHP4579 scRNA-Seq,SAM000182975,2036
RHP4580 scRNA-Seq,SAM000182976,2036
RHP4581 scRNA-Seq,SAM000182977,2036
