project_id,sample_name,sample_id,omics_id,experiment_id,species,description,organ
PRO000000309,FCAImmP7352196,SAM000184290,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7462237,SAM000184291,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7462238,SAM000184292,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7462239,SAM000184293,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7462240,SAM000184294,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7462241,SAM000184295,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7462242,SAM000184296,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,FCAImmP7462243,SAM000184297,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,FCAImmP7462244,SAM000184298,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7504909,SAM000184299,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7504910,SAM000184300,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7504911,SAM000184301,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7504912,SAM000184302,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7504913,SAM000184303,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7528286,SAM000184304,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7528287,SAM000184305,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7528288,SAM000184306,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7528289,SAM000184307,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7528295,SAM000184308,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7555846,SAM000184309,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7555847,SAM000184310,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7555856,SAM000184311,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7555857,SAM000184312,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579210,SAM000184313,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579211,SAM000184314,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579222,SAM000184315,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579223,SAM000184316,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579226,SAM000184317,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7579227,SAM000184318,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000310,"BALF, C141 (scRNA-seq)",SAM000184319,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C142 (scRNA-seq)",SAM000184320,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C143 (scRNA-seq)",SAM000184321,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C144 (scRNA-seq)",SAM000184322,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C145 (scRNA-seq)",SAM000184323,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C146 (scRNA-seq)",SAM000184324,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C141 (TCR-seq)",SAM000184325,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C142 (TCR-seq)",SAM000184326,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C143 (TCR-seq)",SAM000184327,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C144 (TCR-seq)",SAM000184328,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C145 (TCR-seq)",SAM000184329,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,"BALF, C146 (TCR-seq)",SAM000184330,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C51 (scRNA-seq),SAM000184331,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C52 (scRNA-seq),SAM000184332,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C100 (scRNA-seq),SAM000184333,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C148 (scRNA-seq),SAM000184334,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C149 (scRNA-seq),SAM000184335,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C152 (scRNA-seq),SAM000184336,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C148 (TCR-seq),SAM000184337,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C149 (TCR-seq),SAM000184338,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000310,C152 (TCR-seq),SAM000184339,SCT000000289,EPT000000329,Homo sapiens,,lung
PRO000000311,Normal liver-whole,SAM000184340,SCT000000290,EPT000000330,Mus musculus,,liver
PRO000000311,Normal liver-tomato positive,SAM000184341,SCT000000290,EPT000000330,Mus musculus,,liver
PRO000000311,Normal kidney-whole,SAM000184342,SCT000000290,EPT000000330,Mus musculus,,liver
PRO000000311,Normal kidney-tomato positive,SAM000184343,SCT000000290,EPT000000330,Mus musculus,,liver
